"site_year","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100","X101","X102","X103","X104","X105","X106","X107","X108","X109","X110","X111","X112","X113","X114","X115","X116","X117","X118","X119","X120","X121","X122","X123","X124","X125","X126","X127","X128","X129","X130","X131","X132","X133","X134","X135","X136","X137","X138","X139","X140","X141","X142","X143","X144","X145","X146","X147","X148","X149","X150","X151","X152","X153","X154","X155","X156","X157","X158","X159","X160","X161"
"ALN 2014",4.5989375,2.69825,3.24727083333333,5.0001875,4.18227083333333,3.22,5.8830625,6.77847916666667,2.66758333333333,6.192125,7.51795833333333,5.3821875,5.9170625,6.027,8.55304166666667,7.54904166666667,10.6548333333333,11.1164583333333,9.58514583333333,8.9230625,10.6307916666667,6.1579375,2.85825,2.575625,3.36514583333333,4.087875,7.7150625,7.55135416666667,6.50122916666667,6.40614583333333,7.3820625,7.54247916666667,8.67458333333333,6.66647916666667,7.08683333333333,6.69525,7.7533125,9.15666666666667,10.6161666666667,8.84816666666667,8.6658125,11.3799166666667,8.05672916666667,7.34729166666667,9.69714583333333,7.6693125,8.5313125,9.3329375,10.4872916666667,7.67541666666667,9.18147916666667,11.4948125,10.601625,8.60441666666667,9.12554166666667,12.6050416666667,12.5866875,8.56033333333333,9.825,10.7797083333333,11.4671041666667,9.5305625,6.47960416666667,5.86264583333333,7.58516666666667,8.8929375,11.4190833333333,11.4063958333333,11.42275,10.0433541666667,10.1294583333333,10.0331041666667,9.5225,9.54575,10.0306041666667,9.2969375,10.7148541666667,13.1929375,13.3479375,9.82495833333333,11.0250416666667,13.2941041666667,15.5586458333333,10.4207708333333,8.188125,9.05370833333333,11.2247291666667,9.5489375,10.9964791666667,11.1682708333333,11.932375,12.2715,13.3587291666667,14.7521875,15.8231666666667,15.6229375,13.193,12.0339375,11.7575416666667,15.3395416666667,16.57925,15.823,15.672625,15.4877708333333
"ALN 2015",4.238125,5.84772916666667,4.40827083333333,1.6433125,1.19995833333333,5.12591666666667,7.8208125,7.33085416666667,9.93075,5.51283333333333,4.93622916666667,5.25625,3.40341666666667,4.19289583333333,4.73314583333333,3.8606875,3.44816666666667,4.0875,6.4878125,6.7383125,7.28216666666667,8.87791666666667,6.90354166666667,8.20258333333333,7.70129166666667,4.12902083333333,4.96554166666667,5.19002083333333,6.159,6.45614583333333,5.1820625,4.72816666666667,3.31247916666667,3.58160416666667,5.33964583333333,6.29591666666667,9.64775,11.1954583333333,10.2297916666667,10.8996666666667,12.2140208333333,11.4250833333333,11.849,7.21679166666667,5.360625,6.990125,10.599375,9.30316666666667,8.2551875,9.3285625,8.97208333333333,6.5504375,9.6175,12.779625,13.8313333333333,11.4083125,9.98977083333333,6.807875,3.63789583333333,4.68072916666667,5.25941666666667,5.1600625,6.48095833333333,5.71904166666667,6.60908333333333,5.2686875,9.9229375,8.103375,7.34279166666667,7.03752083333333,7.89225,8.7009375,8.84895833333333,10.8013541666667,10.6691875,9.06979166666667,8.7690625,9.046875,8.3395,8.06895833333333,7.4768125,8.30395833333333,11.5442083333333,12.3827083333333,11.8291666666667,11.0827083333333,10.4374583333333,10.38225,10.5118125,8.875375,7.96041666666667,8.42670833333333,9.73175,8.0835625,8.37285416666667,8.75297916666667,10.4929583333333,9.462875,11.117625,11.5811666666667,10.6685416666667,10.9161666666667,13.82675,14.1813541666667
"ALN 2016",0.706020833333333,0.849604166666667,4.18266666666667,5.1119375,1.45625,3.8366875,3.96870833333333,2.96102083333333,1.18004166666667,2.2475,4.69608333333333,4.1369375,3.89004166666667,6.64075,9.54535416666667,10.2944583333333,9.67539583333333,6.57733333333333,5.70035416666667,5.90997916666667,6.39004166666667,6.984,7.8385,9.01975,9.26958333333333,7.66477083333333,6.90708333333333,7.95260416666667,7.3396875,6.0239375,5.89045833333333,4.71579166666667,4.44602083333333,4.82522916666667,6.48327083333333,8.85466666666667,7.65447916666667,6.14308333333333,6.597625,6.23033333333333,7.1630625,6.15675,6.834125,7.4429375,8.00583333333333,8.1754375,7.3161875,6.58304166666667,4.75645833333333,4.42439583333333,7.78547916666667,8.67777083333333,8.26422916666667,9.7449375,8.86885416666667,6.0531875,4.48060416666667,7.18975,4.03527083333333,3.29527083333333,3.08479166666667,4.2945,6.34445833333333,7.35139583333333,9.61135416666667,9.02133333333333,7.384875,9.94033333333333,11.457125,10.49775,9.7803125,10.5006875,14.4617708333333,15.2425625,12.2966458333333,12.0395416666667,8.55952083333333,9.22152083333333,9.14535416666667,11.0450416666667,11.1470833333333,9.9188125,8.4576875,11.3333541666667,11.188875,10.3205208333333,10.7939166666667,9.9998125,9.69802083333333,9.72822916666667,10.5830208333333,13.3494375,14.1246875,12.5724375,13.4894166666667,12.6358333333333,10.3062291666667,10.758375,11.4343333333333,11.7197916666667,12.8824375,13.2059791666667,12.0961666666667,13.3578541666667
"ALN 2017",1.87083333333333,1.50466666666667,3.05458333333333,4.010875,4.0995,4.02175,3.19320833333333,4.33416666666667,4.14625,4.51008333333333,5.27495833333333,5.44725,8.73679166666667,6.97725,9.34533333333333,8.76604166666667,8.33779166666667,7.03991666666667,2.75975,4.809625,7.288375,4.85204166666667,3.21925,3.45425,5.12583333333333,6.43125,9.800625,7.3105,7.40741666666667,6.795125,7.58379166666667,10.399625,9.81558333333333,8.87,8.92720833333333,10.676375,8.593875,9.62229166666667,10.5325416666667,10.2851666666667,10.775,8.12616666666667,7.58583333333333,8.73495833333333,8.40591666666667,7.63816666666667,6.79479166666667,7.28533333333333,6.00904166666667,5.99804166666667,5.72558333333333,11.1849166666667,12.1560833333333,8.68779166666667,6.50229166666667,7.78945833333333,3.96133333333333,3.72875,6.455,9.56220833333333,7.90983333333333,8.17,10.574875,10.9997916666667,10.668125,11.1354583333333,9.67966666666667,9.81508333333333,9.794375,9.0455,8.518125,9.860625,9.56220833333333,11.9783333333333,13.016375,12.2449583333333,12.7560833333333,12.2759166666667,14.2559166666667,12.1788333333333,11.7242916666667,10.5164583333333,8.95166666666667,10.584625,11.9706666666667,11.6783333333333,15.3879166666667,17.1757083333333,19.3934583333333,19.021875,14.9395416666667,11.9110833333333,12.518875,13.2409166666667,14.4725,14.0890416666667,11.161375,10.8015833333333,10.2121666666667,10.4706666666667,9.74758333333333,9.12579166666667,10.8854166666667,12.75875
"ALN 2018",0.6439375,-2.6295625,-1.830875,0.3048125,1.50304166666667,0.894229166666667,1.83810416666667,1.62864583333333,2.81045833333333,2.34939583333333,2.73104166666667,1.973625,4.49766666666667,4.368125,4.75897916666667,5.3771875,5.52304166666667,3.99766666666667,1.64691666666667,2.15989583333333,2.56614583333333,3.34329166666667,6.8884375,8.05479166666667,5.17904166666667,4.62210416666667,4.99095833333333,4.72783333333333,5.32402083333333,4.78827083333333,3.42697916666667,3.82095833333333,2.91895833333333,2.6989375,3.30672916666667,2.24804166666667,2.86125,4.00210416666667,5.25216666666667,8.90520833333333,8.49747916666667,7.925875,5.49602083333333,6.87916666666667,8.20172916666667,6.2361875,9.9496875,9.31635416666667,11.6326458333333,13.0006458333333,13.6725,14.7448125,10.7127083333333,11.30575,8.91722916666667,9.55627083333333,9.30841666666667,8.71585416666667,8.56589583333333,7.66027083333333,5.67110416666667,7.2059375,7.3394375,7.7035,8.21997916666667,7.72564583333333,12.8984166666667,15.2761875,12.7184791666667,10.1393541666667,11.8783958333333,9.87858333333333,10.3013541666667,10.9411041666667,13.0770625,11.6019791666667,12.8153541666667,13.390875,11.3361875,11.1601666666667,13.1423958333333,16.7809166666667,15.834125,10.7360625,8.487375,12.17875,13.6619375,14.6338333333333,11.6243958333333,13.2309166666667,16.7801875,15.4926666666667,14.7293125,15.6339375,17.8457708333333,18.3874791666667,16.6358125,12.8777291666667,13.0555833333333,13.6073541666667,14.5214166666667,13.5600208333333,13.5291041666667,13.8606875
"ALN 2019",7.36202083333333,6.4734375,6.88154166666667,6.1805,6.07591666666667,4.96672916666667,3.11339583333333,3.89895833333333,4.65254166666667,3.17633333333333,3.34414583333333,1.43833333333333,4.10802083333333,4.10841666666667,5.45839583333333,5.7305625,4.02479166666667,2.3391875,3.43827083333333,4.3585,8.0521875,9.8929375,10.2069583333333,8.8158125,5.42670833333333,4.6528125,6.77647916666667,8.88935416666667,10.4578333333333,9.9038125,10.14425,6.78685416666667,4.3688125,4.01345833333333,4.77772916666667,4.19227083333333,4.75729166666667,6.849375,6.35789583333333,6.75620833333333,6.30608333333333,7.006125,5.76133333333333,7.20541666666667,8.5333125,6.41985416666667,6.189625,7.676,8.46083333333333,8.7945625,10.62275,13.6735208333333,14.1349791666667,14.092375,15.6263125,12.5362083333333,10.9485208333333,11.67975,10.9066458333333,9.99770833333333,11.3039791666667,11.2816041666667,11.2716041666667,11.6070833333333,8.17847916666667,5.47904166666667,5.18595833333333,7.07958333333333,5.81404166666667,5.991125,4.87245833333333,6.25295833333333,6.27366666666667,6.97408333333333,9.0441875,12.4727083333333,13.7877708333333,14.3739583333333,14.6873333333333,11.7107291666667,10.2802083333333,12.08775,11.3984375,10.3111041666667,10.6038958333333,10.5624583333333,11.0324166666667,8.91029166666667,8.65945833333333,7.74945833333333,7.17358333333333,8.9290625,7.938,9.5794375,11.6383125,12.5995,11.4608541666667,11.1994375,9.0465,9.6840625,12.014,11.5551875,11.0218333333333,11.314625
"ART 2016",0.543479166666667,1.478375,4.87472916666667,5.95777083333333,2.06529166666667,4.14004166666667,3.24333333333333,2.47058333333333,1.38508333333333,2.36370833333333,5.11610416666667,4.13960416666667,4.0638125,7.20595833333333,10.2032916666667,10.7462083333333,9.43204166666667,6.3508125,5.47077083333333,6.1751875,6.115,6.75235416666667,7.06197916666667,8.29908333333333,8.612625,7.62914583333333,7.19270833333333,8.0880625,7.12358333333333,6.0884375,6.12560416666667,5.543375,4.092375,4.631125,7.53716666666667,8.57258333333333,7.79504166666667,6.27958333333333,6.731625,6.79283333333333,7.04114583333333,6.41347916666667,7.07879166666667,6.9785,7.4761875,7.75039583333333,7.07254166666667,6.6605,4.9828125,4.29279166666667,7.59691666666667,7.4344375,8.37904166666667,9.55258333333333,8.90870833333333,5.70552083333333,5.00375,6.8204375,4.26160416666667,2.62729166666667,3.36825,4.59002083333333,5.23204166666667,7.33758333333333,9.58929166666667,9.5499375,8.18470833333333,10.8201666666667,11.6948333333333,10.6717291666667,8.7835625,9.743375,13.7445208333333,13.4461458333333,11.3524166666667,12.1145208333333,8.561125,8.64345833333333,8.99208333333333,10.8452291666667,11.2265833333333,9.75408333333333,9.18989583333333,11.9038541666667,11.627125,11.4062916666667,12.2117083333333,11.164875,9.54491666666667,9.84091666666667,11.0313958333333,13.6390208333333,13.5181458333333,12.2979791666667,13.1748125,12.6744583333333,9.5068125,10.3561041666667,11.3921875,11.4948541666667,12.8298958333333,13.0625625,12.0817291666667,12.8840833333333
"ART 2017",2.89652083333333,1.59108333333333,3.12277083333333,3.81464583333333,3.8455,3.833125,3.03625,4.12360416666667,4.79314583333333,5.6535625,5.78129166666667,5.98635416666667,9.87520833333333,6.59645833333333,9.18454166666667,8.96114583333333,8.46483333333333,7.44429166666667,3.46827083333333,4.87270833333333,7.42641666666667,5.1203125,3.11772916666667,2.712125,5.22425,6.51395833333333,9.57583333333333,7.5641875,7.55279166666667,6.69895833333333,8.4126875,10.9469166666667,10.436875,8.40308333333333,9.1605625,10.9889166666667,8.76920833333333,8.95091666666667,9.61039583333333,10.1650625,11.1840208333333,7.88229166666667,7.112875,9.4185,8.11891666666667,6.96029166666667,6.97841666666667,6.647625,6.87754166666667,5.18475,5.59575,11.1110833333333,11.4903541666667,8.93639583333333,6.74829166666667,7.87029166666667,3.58710416666667,3.7735,5.90779166666667,8.89454166666667,7.99829166666667,8.414375,10.2813958333333,11.4847916666667,10.79225,10.2137291666667,9.92045833333333,10.0990833333333,10.0140625,9.28639583333333,8.82777083333333,10.0783541666667,9.65964583333333,12.01,14.7009583333333,12.3113333333333,13.7727291666667,13.5480833333333,15.4296666666667,13.2541041666667,11.6043333333333,10.5495416666667,9.02941666666667,11.6324583333333,12.492625,11.7314583333333,15.3239375,17.3064375,18.983375,18.6827916666667,14.2479375,11.5399791666667,11.9187083333333,12.7362708333333,14.8609375,13.816,10.9297708333333,11.4874583333333,10.7124166666667,10.3091041666667,9.83995833333333,9.36558333333333,10.5558958333333,13.004
"ART 2018",-0.0335416666666665,-3.12164583333333,-2.200125,-0.0528124999999999,1.29810416666667,0.812083333333333,2.17575,2.00422916666667,2.79085416666667,3.022,3.2694375,1.60777083333333,4.17233333333333,4.59639583333333,5.35670833333333,6.63095833333333,6.291125,4.6398125,1.45652083333333,1.41954166666667,2.01302083333333,3.67691666666667,7.24364583333333,8.3055,5.83447916666667,6.1265,5.70439583333333,5.69289583333333,6.475375,6.10808333333333,3.22089583333333,3.82810416666667,3.61941666666667,3.2355625,2.65227083333333,1.73541666666667,2.70029166666667,4.58020833333333,6.4245,9.95752083333333,8.56764583333333,8.05235416666667,5.41329166666667,6.91741666666667,7.77858333333333,6.1905625,9.89158333333333,9.35622916666667,12.0217916666667,13.2197708333333,14.3125625,14.962125,11.2651875,11.795625,9.343125,9.80220833333333,9.96747916666667,9.2435625,7.95058333333333,7.77454166666667,6.665625,7.49304166666667,7.34327083333333,8.05654166666667,8.12689583333333,9.0029375,13.4116458333333,14.9866458333333,13.0657708333333,11.2749166666667,12.507625,10.7653333333333,10.8185,11.5813125,12.3601458333333,11.7359791666667,12.8677708333333,13.3814583333333,11.7665416666667,10.6321041666667,13.0500625,16.1937916666667,15.5632291666667,10.8254375,7.95891666666667,11.3974375,12.7744583333333,13.0948125,10.2154583333333,11.3023125,15.3138958333333,13.3575416666667,13.7465833333333,14.3357291666667,16.7902916666667,17.2473958333333,15.8693125,12.6435,11.9338541666667,12.258625,13.1354375,12.2239375,12.6368333333333,13.3055416666667
"ART 2019",7.39570833333333,5.60983333333333,7.67814583333333,6.8428125,6.95741666666667,5.53664583333333,3.76047916666667,4.04247916666667,4.90972916666667,3.96908333333333,3.71839583333333,2.20285416666667,4.59614583333333,5.01425,6.07970833333333,6.36214583333333,3.96920833333333,2.44322916666667,4.31410416666667,5.37954166666667,9.26545833333333,10.8631458333333,11.2495208333333,9.31739583333333,6.13197916666667,5.12925,7.28129166666667,8.86902083333333,10.3307916666667,9.9653125,10.0384791666667,6.4871875,4.79408333333333,5.28541666666667,5.0036875,4.58577083333333,4.7946875,8.0015625,5.74539583333333,6.93672916666667,6.64408333333333,7.1030625,6.20466666666667,7.8656875,9.08747916666667,7.41635416666667,7.1236875,8.49235416666667,9.32814583333333,10.0581875,11.3523333333333,15.0259583333333,14.641,14.8073333333333,17.4257083333333,13.7641458333333,11.155125,12.1255208333333,11.5204791666667,9.8294375,11.8022291666667,11.7702708333333,11.5620416666667,12.2302708333333,7.448375,4.993,5.34820833333333,7.0824375,6.12164583333333,6.21545833333333,5.59922916666667,6.85254166666667,6.77941666666667,8.1265,10.1204583333333,13.8054583333333,14.4514166666667,14.4315416666667,15.0365833333333,11.9168541666667,10.2784583333333,12.1573958333333,11.5624166666667,10.7584375,10.2158333333333,10.4665208333333,10.9569583333333,9.255,9.19241666666667,8.27316666666667,7.45829166666667,9.51497916666667,7.97085416666667,9.93383333333333,12.2306458333333,13.0339583333333,12.3349166666667,11.9592708333333,8.80614583333333,9.90252083333333,11.5621458333333,11.4476458333333,11.1031666666667,11.1970833333333
"ART 2021",8.69508333333333,6.489625,6.89725,2.58941666666667,2.63122916666667,3.50975,2.2645,2.68302083333333,5.60141666666667,7.75466666666667,7.984875,6.2390625,5.3294375,3.57239583333333,3.519875,5.5490625,6.07164583333333,8.674375,9.23822916666667,10.0948333333333,9.67729166666667,7.91125,7.367875,8.256375,8.862625,6.354,8.12014583333333,5.52810416666667,5.39216666666667,8.04758333333333,12.3518125,12.2787291666667,5.37129166666667,5.45410416666667,5.558125,8.04502083333333,6.1863125,0.778375,0.9878125,2.80847916666667,5.62175,2.12854166666667,2.79764583333333,2.03385416666667,3.4869375,5.1705625,7.19827083333333,7.94054166666667,9.25775,10.3554583333333,8.81058333333333,11.1919375,8.60120833333333,7.2720625,8.37975,8.47466666666667,8.87133333333333,9.748625,8.549125,6.8038125,6.25979166666667,5.569375,5.33966666666667,6.56277083333333,7.27364583333333,5.37091666666667,6.28039583333333,4.55533333333333,5.13014583333333,6.98047916666667,5.54841666666667,10.2406041666667,11.672625,11.1293541666667,8.842,9.09254166666667,8.9981875,10.4498125,11.1804166666667,11.5264375,10.7011458333333,8.88377083333333,9.28064583333333,7.12783333333333,7.858625,8.621625,7.985125,9.13429166666667,9.90775,11.6826875,10.8477916666667,13.3533333333333,13.1657083333333,16.8802916666667,17.5489375,15.5032916666667,15.1069583333333,14.8366875,15.5874791666667,14.2306666666667,14.8773333333333,16.3911875,16.9028958333333,17.7061875
"AVI 2014",3.64616666666667,2.50825,2.394625,3.7391875,2.86339583333333,1.9403125,4.83939583333333,6.19377083333333,2.33970833333333,5.63185416666667,6.425375,3.75535416666667,5.2003125,4.40608333333333,8.11454166666667,7.6798125,7.99460416666667,9.5700625,8.01958333333333,7.77641666666667,9.47214583333333,5.44652083333333,2.10552083333333,2.08797916666667,1.89604166666667,2.11991666666667,6.64370833333333,5.95416666666667,5.02033333333333,4.92979166666667,7.23133333333333,5.59966666666667,10.224375,7.54372916666667,6.65158333333333,6.6594375,6.98164583333333,8.94852083333333,11.5970625,7.58504166666667,6.644625,9.7774375,7.82325,6.8115,7.88879166666667,6.95997916666667,6.42602083333333,7.5809375,10.1132083333333,7.11452083333333,7.66341666666667,9.307625,9.60597916666667,11.4087708333333,9.32814583333333,11.5137083333333,11.8677916666667,8.18977083333333,9.92654166666667,11.2030625,11.9855,12.179125,8.38666666666667,5.44125,6.18895833333333,9.38479166666667,11.9161875,11.2770208333333,10.9654166666667,9.62847916666667,10.39025,10.056,8.55152083333333,8.97914583333333,9.1534375,8.1221875,9.9726875,11.6463958333333,12.6604791666667,10.5897083333333,12.2510416666667,14.4546458333333,15.7931458333333,13.265375,7.52179166666667,7.74247916666667,11.2366875,9.84220833333333,12.1356041666667,10.64025,10.9994583333333,11.3150625,12.161125,15.0173125,15.1294166666667,14.4878958333333,11.6775,9.971625,11.8357916666667,14.7343541666667,14.4889791666667,13.8204166666667,14.2141041666667,13.3225
"AVI 2015",2.27433333333333,4.878,2.6661875,0.346583333333333,0.150645833333333,2.44352083333333,6.15579166666667,6.59729166666667,9.61770833333333,4.17902083333333,3.79272916666667,3.52475,3.22966666666667,4.463125,4.3659375,1.28760416666667,3.21160416666667,2.19908333333333,4.55439583333333,5.86341666666667,5.40589583333333,6.9538125,5.71747916666667,7.10258333333333,5.38825,2.661,3.51795833333333,4.23472916666667,4.34939583333333,6.08166666666667,3.82539583333333,2.81735416666667,1.90402083333333,1.83979166666667,4.37933333333333,5.64202083333333,7.916125,10.2416458333333,9.848375,10.1487916666667,10.0757916666667,10.0842708333333,11.4565833333333,5.43472916666667,3.12964583333333,5.64022916666667,9.92864583333333,6.6715625,7.32454166666667,8.76779166666667,8.2596875,6.8813125,6.36158333333333,11.1616875,13.9258125,11.6768125,10.0810208333333,4.89814583333333,2.68008333333333,2.40770833333333,4.0615625,5.295375,4.83716666666667,5.1035625,5.32735416666667,5.09452083333333,9.43866666666667,6.9354375,6.1946875,5.12129166666667,6.61585416666667,8.48539583333333,9.5360625,9.61466666666667,8.24497916666667,8.659375,9.81947916666667,9.0558125,7.58391666666667,7.42183333333333,6.44041666666667,6.61902083333333,9.61166666666667,11.4906041666667,11.954,11.2132916666667,10.5404166666667,9.5743125,9.91760416666667,7.667875,7.305875,6.83066666666667,8.43129166666667,7.57375,7.02189583333333,8.30460416666667,9.44175,8.37166666666667,10.4426458333333,9.80329166666667,9.370875,9.69835416666667,13.3677291666667,14.8091666666667
"AVI 2016",-2.3115625,-1.7589375,2.93677083333333,4.03866666666667,0.433854166666667,1.3555625,1.73845833333333,1.21427083333333,0.185375,0.151229166666667,2.7355,2.00766666666667,1.72579166666667,5.05625,7.91847916666667,8.869,6.2853125,4.450375,5.0330625,6.07120833333333,4.79539583333333,4.82416666666667,5.4731875,7.17745833333333,7.49508333333333,6.24420833333333,5.89264583333333,6.28908333333333,7.551625,4.98602083333333,3.59154166666667,3.6243125,2.8319375,3.59516666666667,5.81508333333333,6.971,6.29910416666667,5.70458333333333,5.28914583333333,5.11533333333333,5.34529166666667,5.5840625,6.06247916666667,6.5,6.36152083333333,6.58470833333333,4.79791666666667,4.51935416666667,2.49389583333333,2.40754166666667,5.14291666666667,6.84472916666667,6.95622916666667,8.0025625,6.1085,4.55439583333333,2.05177083333333,5.41235416666667,2.42866666666667,2.02477083333333,1.87172916666667,3.00597916666667,2.781375,5.15889583333333,8.99529166666667,8.0631875,6.74775,8.82708333333333,11.1687916666667,10.5101666666667,8.95233333333333,13.9320208333333,17.3931458333333,17.379875,13.5793125,13.0311041666667,7.0981875,8.159125,8.13264583333333,10.8424166666667,11.6870625,9.80379166666667,8.62222916666667,10.8412708333333,10.9798958333333,10.257375,10.7686875,10.0895416666667,7.94445833333333,9.047625,12.0735833333333,14.5321458333333,13.4176666666667,12.202625,12.0511666666667,11.894125,10.181875,10.7489166666667,12.2085208333333,13.6946458333333,16.6956666666667,15.8366458333333,14.6997708333333,14.3234791666667
"AVI 2017",0.0740416666666667,-0.97675,0.945875,1.55025,1.95845833333333,1.93529166666667,1.33829166666667,2.16491666666667,2.33508333333333,3.52354166666667,3.43975,4.76266666666667,8.436625,6.29270833333333,7.34133333333333,7.35175,6.65604166666667,6.55929166666667,2.57116666666667,4.01470833333333,5.88,3.97341666666667,1.79395833333333,1.065625,3.182625,4.93766666666667,6.28883333333333,6.71079166666667,7.79058333333333,6.36804166666667,8.28216666666667,10.5554166666667,10.1925416666667,8.67945833333333,7.123875,8.9905,7.370375,8.06025,9.16495833333333,9.084625,9.81554166666667,7.87641666666667,6.20408333333333,8.64583333333333,7.53495833333333,6.72654166666667,6.38433333333333,4.828375,5.69429166666667,3.03320833333333,4.23241666666667,9.85475,10.905625,7.87754166666667,5.52191666666667,7.079625,2.4585,1.60025,4.03579166666667,6.59125,7.44575,7.88725,9.60479166666667,11.13125,9.739875,9.81529166666667,9.87766666666667,9.106625,8.37904166666667,7.85416666666667,7.63166666666667,8.52354166666667,8.65483333333333,11.2539583333333,13.3735833333333,12.624,11.968375,11.63675,14.3988333333333,11.3162083333333,10.26475,10.1485,8.240875,9.52316666666667,12.2345,11.0356666666667,14.4484583333333,18.3139166666667,19.2235833333333,17.9233333333333,13.6062916666667,12.4829166666667,12.0915,12.218375,14.013375,13.46725,10.4267916666667,11.89225,10.7409166666667,9.74625,8.78425,8.43808333333333,10.5429583333333,12.8405416666667
"AVI 2018",-1.51766666666667,-5.03639583333333,-3.78783333333333,-1.56458333333333,-0.06925,-0.00487500000000003,1.87725,0.869604166666667,1.64408333333333,1.76052083333333,1.1504375,0.7560625,3.47310416666667,3.2850625,3.55822916666667,5.93060416666667,4.40233333333333,3.51164583333333,0.261958333333333,-0.4280625,0.15925,0.143083333333333,5.363625,7.28808333333333,5.08075,3.32602083333333,3.9936875,3.72385416666667,5.15639583333333,3.3984375,1.94247916666667,2.509125,2.0459375,2.19091666666667,1.57864583333333,0.981875,1.1924375,2.11314583333333,5.90704166666667,8.839,7.50802083333333,7.83710416666667,5.44852083333333,7.26466666666667,7.0801875,6.36370833333333,9.73989583333333,8.91879166666667,10.9264791666667,11.5209583333333,13.3030416666667,14.9700208333333,10.5329375,10.4214791666667,9.6349375,9.24025,7.95770833333333,7.19827083333333,7.50639583333333,6.02054166666667,5.92325,5.86872916666667,5.79675,7.2054375,5.74491666666667,7.19414583333333,12.3968125,14.3172291666667,14.874125,13.4190416666667,12.5966458333333,8.77329166666667,8.2043125,9.923375,12.1075416666667,10.3478333333333,12.0994583333333,12.62275,9.999375,10.9744375,12.9869791666667,14.7516458333333,14.4707083333333,12.1781458333333,7.59645833333333,13.2121041666667,15.4227291666667,13.6107083333333,14.5965208333333,16.9703958333333,18.2800833333333,18.2490833333333,16.088875,18.4285,20.026375,17.3226458333333,17.789125,14.3761458333333,13.1166875,13.4267708333333,14.9451875,13.78775,13.7910416666667,15.0925625
"AVI 2019",6.86108333333333,3.25,6.55895833333333,6.29710416666667,5.3869375,3.55427083333333,1.16560416666667,2.14035416666667,3.60716666666667,2.11922916666667,1.70022916666667,0.485083333333333,3.0200625,2.84260416666667,4.2038125,4.8215625,2.94710416666667,0.8419375,1.86841666666667,3.35504166666667,7.66752083333333,9.80127083333333,10.6171875,7.81391666666667,4.39125,4.3190625,6.08772916666667,7.6990625,8.81875,8.91272916666667,8.69327083333333,5.49104166666667,3.071,3.198,4.0046875,1.92089583333333,3.81629166666667,5.574,3.0929375,5.24033333333333,6.31791666666667,6.588625,5.29972916666667,6.62975,6.31677083333333,4.89354166666667,5.53185416666667,7.0503125,8.9859375,9.44452083333333,11.1765833333333,13.6539375,15.0454166666667,15.4420833333333,15.0449583333333,12.8098333333333,10.0205,11.0133541666667,9.57120833333333,8.76616666666667,11.2852708333333,11.1777291666667,10.4583958333333,11.0242291666667,6.66389583333333,3.4916875,3.50210416666667,5.6378125,5.34479166666667,3.75352083333333,3.68025,6.20229166666667,5.14529166666667,7.13364583333333,9.74677083333333,13.3737291666667,14.4998125,17.0158333333333,14.9933958333333,12.328875,9.3733125,10.5852708333333,10.9412916666667,9.11139583333333,8.49391666666667,9.8641875,10.5436041666667,9.01695833333333,9.72820833333333,7.79347916666667,7.20752083333333,8.96185416666667,7.66852083333333,11.6828333333333,11.6204166666667,13.0093333333333,11.2650833333333,11.505125,8.31685416666667,9.55058333333333,11.3469791666667,11.9544166666667,9.93729166666667,9.99997916666667
"AVI 2021",6.06583333333333,5.8255625,4.59216666666667,0.597520833333333,0.441229166666667,1.85335416666667,0.399416666666667,0.3258125,3.65166666666667,6.09754166666667,6.50502083333333,4.937375,3.40079166666667,1.61302083333333,1.52897916666667,3.1498125,4.59235416666667,6.44222916666667,7.027375,8.49977083333333,7.85283333333333,7.47635416666667,5.67960416666667,7.12158333333333,7.54972916666667,4.3625,6.18091666666667,3.42177083333333,3.578375,6.46320833333333,11.5083958333333,11.6127291666667,5.1044375,2.88814583333333,3.65054166666667,7.14141666666667,5.29214583333333,-0.9189375,-0.322395833333333,0.817854166666667,4.25754166666667,0.807270833333333,0.472479166666667,-0.521645833333334,0.806104166666667,2.07122916666667,4.57985416666667,6.55466666666667,6.61822916666667,7.09889583333333,7.49764583333333,10.6305208333333,6.66172916666667,5.019625,7.69316666666667,8.94704166666667,8.6864375,9.53233333333333,8.3229375,5.50189583333333,4.58216666666667,3.9129375,4.22654166666667,5.5015625,5.62727083333333,3.73525,3.54708333333333,2.38654166666667,2.73160416666667,4.47716666666667,4.35139583333333,9.87847916666667,10.7770833333333,10.1192083333333,8.0618125,8.343625,8.29152083333333,10.0770208333333,9.83666666666667,8.9080625,8.41689583333333,7.98870833333333,7.957375,5.14658333333333,5.6793125,7.20470833333333,6.02445833333333,7.82166666666667,8.31254166666667,11.3090625,12.3942291666667,14.1270833333333,17.1422708333333,16.5373958333333,17.2883333333333,15.7648958333333,14.8364583333333,13.7210833333333,15.1916875,13.8667916666667,13.5113541666667,15.2756875,16.1838541666667,16.9661041666667
